,exp_key,preemption_latency_limit,min_wait_time,use_original_configs,use_space_share,disable_transformation,wait_time_to_use_original,high_priority_job,high_priority_job_workload_type,best_effort_job,best_effort_job_workload_type,best_effort_tally_throughput,best_effort_mps_throughput,best_effort_mps_priority_throughput,best_effort_time_slicing_throughput,best_effort_tgs_throughput,high_priority_tally_throughput,high_priority_mps_throughput,high_priority_mps_priority_throughput,high_priority_time_slicing_throughput,high_priority_tgs_throughput,high_priority_orig_avg_latency,high_priority_tally_avg_latency,high_priority_mps_avg_latency,high_priority_mps_priority_avg_latency,high_priority_time_slicing_avg_latency,high_priority_tgs_avg_latency,high_priority_orig_90th_latency,high_priority_tally_90th_latency,high_priority_mps_90th_latency,high_priority_mps_priority_90th_latency,high_priority_time_slicing_90th_latency,high_priority_tgs_90th_latency,high_priority_orig_95th_latency,high_priority_tally_95th_latency,high_priority_mps_95th_latency,high_priority_mps_priority_95th_latency,high_priority_time_slicing_95th_latency,high_priority_tgs_priority_95th_latency,high_priority_orig_99th_latency,high_priority_tally_99th_latency,high_priority_mps_99th_latency,high_priority_mps_priority_99th_latency,high_priority_time_slicing_99th_latency,high_priority_tgs_99th_latency,high_priority_tgs_95th_latency
16,pytorch_pegasus-x-base_train_4_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_pegasus-x-base_train_4,training,0.5,0.85,0.81,0.47,0.79,1.0,0.9,1.0,1.0,1.0,1963.886,2008.024,4383.393,3583.218,3412.645,3408.329,1970.355,2019.932,4432.834,3629.564,3520.697,3481.049,1975.84,2030.96,4436.278,3633.228,3527.075,,1982.652,2035.249,4442.112,3646.015,3543.865,3498.714,3490.171
17,pytorch_pegasus-x-base_train_4_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_pegasus-x-base_train_4,training,0.87,0.85,0.81,0.47,0.79,0.7,0.9,1.0,1.0,1.0,1963.886,5589.765,4383.393,3583.218,3412.645,3408.329,1970.355,5819.78,4432.834,3629.564,3520.697,3481.049,1975.84,5841.052,4436.278,3633.228,3527.075,,1982.652,5961.894,4442.112,3646.015,3543.865,3498.714,3490.171
9,pytorch_gpt2-large_train_1_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_gpt2-large_train_1,training,0.47,0.84,0.81,0.47,0.79,1.0,0.94,1.0,1.0,1.0,1963.886,2006.038,4191.625,3513.134,3431.265,3431.399,1970.355,2018.168,4234.613,3560.383,3503.092,3490.185,1975.84,2023.157,4247.245,3565.913,3504.169,,1982.652,2035.348,4252.638,3574.84,3504.699,3505.977,3495.861
10,pytorch_gpt2-large_train_1_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_gpt2-large_train_1,training,0.51,0.84,0.81,0.47,0.79,1.0,0.94,1.0,1.0,1.0,1963.886,2008.443,4191.625,3513.134,3431.265,3431.399,1970.355,2027.315,4234.613,3560.383,3503.092,3490.185,1975.84,2030.252,4247.245,3565.913,3504.169,,1982.652,2040.521,4252.638,3574.84,3504.699,3505.977,3495.861
11,pytorch_gpt2-large_train_1_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_gpt2-large_train_1,training,0.85,0.84,0.81,0.47,0.79,0.87,0.94,1.0,1.0,1.0,1963.886,4516.156,4191.625,3513.134,3431.265,3431.399,1970.355,4645.16,4234.613,3560.383,3503.092,3490.185,1975.84,4648.694,4247.245,3565.913,3504.169,,1982.652,4672.263,4252.638,3574.84,3504.699,3505.977,3495.861
3,pytorch_bert_train_32_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_bert_train_32,training,0.48,0.92,0.85,0.47,0.84,1.0,0.57,0.83,0.94,0.87,1963.886,1985.256,6939.101,4724.447,4199.638,4510.036,1970.355,1994.041,6986.989,4814.777,4235.08,4591.336,1975.84,1996.716,6991.418,4818.468,4236.169,,1982.652,2011.985,6994.107,4844.567,4236.93,4609.803,4597.996
4,pytorch_bert_train_32_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_bert_train_32,training,0.53,0.92,0.85,0.47,0.84,1.0,0.57,0.83,0.94,0.87,1963.886,2080.823,6939.101,4724.447,4199.638,4510.036,1970.355,2097.098,6986.989,4814.777,4235.08,4591.336,1975.84,2098.938,6991.418,4818.468,4236.169,,1982.652,2106.719,6994.107,4844.567,4236.93,4609.803,4597.996
5,pytorch_bert_train_32_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_bert_train_32,training,0.87,0.92,0.85,0.47,0.84,0.69,0.57,0.83,0.94,0.87,1963.886,5733.629,6939.101,4724.447,4199.638,4510.036,1970.355,5799.856,6986.989,4814.777,4235.08,4591.336,1975.84,5839.396,6991.418,4818.468,4236.169,,1982.652,5861.13,6994.107,4844.567,4236.93,4609.803,4597.996
30,pytorch_whisper-large-v3_train_16_onnxruntime_bert_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_whisper-large-v3_train_16,training,0.49,1.0,0.96,0.73,0.7,1.0,0.94,0.98,0.98,1.0,4.05,4.086,7.221,6.657,6.605,5.397,4.066,4.14,15.226,15.613,11.084,8.733,4.076,4.194,27.922,20.073,11.112,,4.098,4.339,48.26,23.81,11.171,20.955,14.645
31,pytorch_whisper-large-v3_train_16_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_whisper-large-v3_train_16,training,0.67,1.0,0.96,0.73,0.7,1.0,0.94,0.98,0.98,1.0,4.05,4.929,7.221,6.657,6.605,5.397,4.066,5.614,15.226,15.613,11.084,8.733,4.076,9.627,27.922,20.073,11.112,,4.098,10.079,48.26,23.81,11.171,20.955,14.645
32,pytorch_whisper-large-v3_train_16_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_whisper-large-v3_train_16,training,0.94,1.0,0.96,0.73,0.7,0.98,0.94,0.98,0.98,1.0,4.05,6.638,7.221,6.657,6.605,5.397,4.066,14.968,15.226,15.613,11.084,8.733,4.076,19.988,27.922,20.073,11.112,,4.098,23.82,48.26,23.81,11.171,20.955,14.645
24,pytorch_resnet50_train_128_onnxruntime_bert_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_resnet50_train_128,training,0.37,0.78,0.77,0.56,0.79,1.0,0.99,0.99,0.74,1.0,4.05,4.167,5.952,5.892,10.983,5.049,4.066,4.236,6.831,6.526,11.103,5.623,4.076,4.288,7.503,7.052,11.129,,4.098,4.504,9.024,8.921,11.196,7.449,6.078
25,pytorch_resnet50_train_128_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_resnet50_train_128,training,0.39,0.78,0.77,0.56,0.79,1.0,0.99,0.99,0.74,1.0,4.05,4.185,5.952,5.892,10.983,5.049,4.066,4.235,6.831,6.526,11.103,5.623,4.076,4.312,7.503,7.052,11.129,,4.098,4.709,9.024,8.921,11.196,7.449,6.078
26,pytorch_resnet50_train_128_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_resnet50_train_128,training,0.78,0.78,0.77,0.56,0.79,1.0,0.99,0.99,0.74,1.0,4.05,5.688,5.952,5.892,10.983,5.049,4.066,6.328,6.831,6.526,11.103,5.623,4.076,6.859,7.503,7.052,11.129,,4.098,8.671,9.024,8.921,11.196,7.449,6.078
18,pytorch_pointnet_train_128_onnxruntime_bert_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_pointnet_train_128,training,0.39,0.84,0.82,0.56,0.79,1.0,0.94,0.97,0.81,0.99,4.05,4.161,7.134,6.73,9.981,5.954,4.066,4.257,12.001,9.286,11.067,8.259,4.076,4.311,15.227,11.911,11.108,,4.098,4.411,16.954,15.25,11.163,14.411,11.022
19,pytorch_pointnet_train_128_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_pointnet_train_128,training,0.43,0.84,0.82,0.56,0.79,1.0,0.94,0.97,0.81,0.99,4.05,4.214,7.134,6.73,9.981,5.954,4.066,4.269,12.001,9.286,11.067,8.259,4.076,4.58,15.227,11.911,11.108,,4.098,6.463,16.954,15.25,11.163,14.411,11.022
20,pytorch_pointnet_train_128_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_pointnet_train_128,training,0.79,0.84,0.82,0.56,0.79,0.98,0.94,0.97,0.81,0.99,4.05,6.51,7.134,6.73,9.981,5.954,4.066,9.039,12.001,9.286,11.067,8.259,4.076,11.638,15.227,11.911,11.108,,4.098,15.277,16.954,15.25,11.163,14.411,11.022
12,pytorch_pegasus-x-base_train_4_onnxruntime_bert_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_pegasus-x-base_train_4,training,0.44,0.9,0.88,0.51,0.84,1.0,0.74,0.86,0.91,0.91,4.05,4.209,10.889,9.078,7.803,7.797,4.066,4.295,15.186,11.509,11.03,10.276,4.076,4.355,15.763,11.9,11.068,,4.098,4.491,17.143,15.518,11.123,15.142,10.676
13,pytorch_pegasus-x-base_train_4_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_pegasus-x-base_train_4,training,0.5,0.9,0.88,0.51,0.84,1.0,0.74,0.86,0.91,0.91,4.05,4.374,10.889,9.078,7.803,7.797,4.066,4.764,15.186,11.509,11.03,10.276,4.076,5.19,15.763,11.9,11.068,,4.098,5.306,17.143,15.518,11.123,15.142,10.676
14,pytorch_pegasus-x-base_train_4_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_pegasus-x-base_train_4,training,0.92,0.9,0.88,0.51,0.84,0.57,0.74,0.86,0.91,0.91,4.05,13.99,10.889,9.078,7.803,7.797,4.066,12.017,15.186,11.509,11.03,10.276,4.076,18.79,15.763,11.9,11.068,,4.098,173.864,17.143,15.518,11.123,15.142,10.676
6,pytorch_gpt2-large_train_1_onnxruntime_bert_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_gpt2-large_train_1,training,0.46,0.88,0.86,0.51,0.85,1.0,0.78,0.86,0.91,0.9,4.05,4.127,10.359,9.076,7.898,8.085,4.066,4.159,17.628,12.995,11.124,10.163,4.076,4.188,19.522,18.297,11.158,,4.098,4.284,21.891,20.967,11.204,20.149,16.475
7,pytorch_gpt2-large_train_1_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_gpt2-large_train_1,training,0.52,0.88,0.86,0.51,0.85,1.0,0.78,0.86,0.91,0.9,4.05,4.218,10.359,9.076,7.898,8.085,4.066,4.314,17.628,12.995,11.124,10.163,4.076,4.349,19.522,18.297,11.158,,4.098,4.587,21.891,20.967,11.204,20.149,16.475
8,pytorch_gpt2-large_train_1_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_gpt2-large_train_1,training,0.87,0.88,0.86,0.51,0.85,0.84,0.78,0.86,0.91,0.9,4.05,9.48,10.359,9.076,7.898,8.085,4.066,14.241,17.628,12.995,11.124,10.163,4.076,19.354,19.522,18.297,11.158,,4.098,46.805,21.891,20.967,11.204,20.149,16.475
0,pytorch_bert_train_32_onnxruntime_bert_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_bert_train_32,training,0.46,0.94,0.91,0.53,0.88,1.0,0.49,0.64,0.8,0.73,4.05,4.118,16.592,12.728,10.174,11.133,4.066,4.203,25.391,16.223,11.1,14.88,4.076,4.248,26.362,16.809,11.134,,4.098,4.368,27.376,18.051,11.206,16.379,15.546
1,pytorch_bert_train_32_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_bert_train_32,training,0.56,0.94,0.91,0.53,0.88,1.0,0.49,0.64,0.8,0.73,4.05,4.921,16.592,12.728,10.174,11.133,4.066,6.763,25.391,16.223,11.1,14.88,4.076,7.055,26.362,16.809,11.134,,4.098,7.201,27.376,18.051,11.206,16.379,15.546
2,pytorch_bert_train_32_onnxruntime_bert_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_bert_infer_server_load_0.5_1,inference-server,pytorch_bert_train_32,training,0.91,0.94,0.91,0.53,0.88,0.58,0.49,0.64,0.8,0.73,4.05,13.998,16.592,12.728,10.174,11.133,4.066,17.107,25.391,16.223,11.1,14.88,4.076,17.415,26.362,16.809,11.134,,4.098,18.352,27.376,18.051,11.206,16.379,15.546
